,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
8,24,42,16.9,8.1,4.9,0.5,0.4,0.2,0.616,0.0,0.661,3.7,0.251,PF,21.4,0.641,0.005,0.498,15.5,17.3,16.4,5.2,1.3,0.7,8.9,18.8,2.5,1.2,2.1,-0.3,1.8,0.7,0.002
0,20,81,37.0,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,PG,16.0,0.516,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,3.4,1.5,0.9,-1.5,-0.6,1.1,0.957
1,21,82,38.0,18.5,3.8,3.2,1.1,0.2,0.438,0.384,0.879,3.4,0.052,SG,14.2,0.539,0.295,0.219,2.2,10.1,6.1,15.5,1.6,0.3,13.8,24.5,1.5,1.8,0.7,-1.6,-0.9,0.9,0.41
2,20,82,30.5,13.0,8.1,1.0,0.5,1.8,0.531,0.0,0.793,5.8,0.112,C,17.9,0.568,0.002,0.257,10.6,21.2,15.8,6.2,0.9,4.9,13.5,20.3,3.2,2.7,-1.2,1.2,0.0,1.2,0.212
3,20,82,32.5,15.3,4.9,5.3,1.3,0.2,0.398,0.271,0.815,1.9,0.035,PG,15.2,0.489,0.118,0.391,7.6,9.7,8.6,27.5,2.1,0.4,17.6,25.8,-0.1,2.0,0.1,-0.2,-0.1,1.3,0.122
4,20,78,34.3,16.1,2.6,2.8,1.0,0.4,0.456,0.389,0.854,4.6,0.082,SG,14.9,0.593,0.374,0.388,1.9,6.9,4.3,13.6,1.5,1.0,13.5,20.7,3.9,0.7,1.4,-1.9,-0.4,1.1,0.037
5,20,81,25.3,11.1,9.1,1.0,0.4,0.6,0.459,0.105,0.789,5.3,0.124,C,18.3,0.538,0.028,0.488,15.1,27.3,21.0,6.8,0.9,1.9,12.4,21.0,3.4,1.9,-0.7,-0.4,-1.1,0.5,0.027
6,20,81,24.8,13.9,5.4,1.0,0.5,0.5,0.472,0.407,0.772,3.4,0.081,PF,17.2,0.528,0.085,0.252,6.5,19.8,13.1,7.7,1.1,1.5,10.2,27.7,1.2,2.2,-2.4,-1.9,-4.3,-1.2,0.012
7,24,82,30.7,11.9,7.4,1.7,0.8,1.1,0.53,0.0,0.733,6.4,0.121,C,16.7,0.59,0.002,0.567,9.6,20.0,14.7,9.7,1.3,2.9,16.6,18.3,3.7,2.7,-0.2,1.5,1.2,2.1,0.007
8,23,78,25.6,10.4,2.7,2.0,0.9,0.2,0.425,0.399,0.839,6.1,0.147,SG,15.5,0.588,0.632,0.227,2.9,10.1,6.4,12.7,1.9,0.5,11.0,18.4,4.3,1.8,3.6,-0.6,3.1,2.5,0.005
9,20,60,10.2,3.2,2.0,0.1,0.2,0.7,0.518,0.0,0.691,1.1,0.083,C,11.6,0.566,0.007,0.496,10.3,12.1,11.2,1.8,0.9,4.9,14.4,14.0,0.6,0.4,-2.1,-0.2,-2.3,0.0,0.005
10,22,82,32.0,10.0,2.8,4.9,2.0,0.1,0.42,0.367,0.767,5.2,0.095,PG,13.3,0.548,0.47,0.292,1.7,8.8,5.2,23.5,3.3,0.2,18.1,16.3,2.1,3.1,0.4,0.3,0.8,1.8,0.003
11,23,77,25.2,8.4,2.3,1.2,1.0,0.2,0.45,0.404,0.83,4.4,0.108,SG,10.7,0.556,0.376,0.174,1.1,9.1,5.2,7.6,2.0,0.5,10.6,15.5,1.3,3.1,-1.0,1.5,0.5,1.2,0.003
12,20,79,18.4,5.4,2.8,0.9,0.6,0.5,0.446,0.369,0.808,3.7,0.123,SF,12.9,0.555,0.465,0.144,7.0,11.8,9.4,7.8,1.9,2.2,11.5,14.0,2.1,1.6,1.2,1.3,2.5,1.7,0.002
0,20,72,37.2,20.1,5.3,5.8,1.5,0.4,0.458,0.255,0.748,5.4,0.097,SG,18.2,0.529,0.121,0.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,3.3,2.1,1.6,0.0,1.6,2.5,0.798
1,21,80,36.2,17.5,4.5,5.9,1.9,0.2,0.462,0.437,0.885,4.7,0.077,PG,16.3,0.568,0.332,0.175,1.8,12.0,6.8,24.6,2.5,0.5,16.5,21.8,3.0,1.6,1.8,-0.7,1.0,2.2,0.636
2,20,82,32.6,15.5,3.4,5.7,1.3,0.2,0.371,0.374,0.817,4.2,0.075,PG,14.5,0.475,0.319,0.225,2.0,10.4,6.0,29.6,2.1,0.5,13.0,26.1,0.3,3.9,0.6,0.2,0.9,1.9,0.332
3,22,76,27.8,12.4,2.5,5.7,1.0,0.1,0.477,0.4,0.851,2.9,0.067,PG,16.5,0.546,0.146,0.221,2.2,8.6,5.3,32.9,1.9,0.1,18.9,23.1,1.9,1.1,0.2,-1.9,-1.7,0.2,0.028
4,20,81,28.9,13.5,2.4,4.4,1.0,0.0,0.417,0.358,0.826,0.1,0.002,PG,13.0,0.511,0.226,0.284,1.1,8.1,4.6,24.7,1.8,0.1,17.9,24.2,-0.6,0.7,-1.2,-2.5,-3.6,-1.0,0.003
5,24,82,26.9,9.0,7.5,0.9,0.6,1.3,0.494,0.0,0.646,4.7,0.103,PF,13.8,0.521,0.0,0.278,11.6,19.2,15.4,5.0,1.2,3.6,13.9,16.7,1.2,3.5,-2.3,1.8,-0.6,0.8,0.003
