,Age_x,G_x,MP_x,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS_x,WS/48_x,Pos,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,BPM,VORP,Share
2,28,74,27.8,10.1,9.4,0.4,0.5,1.1,0.654,0.0,0.732,9.4,0.218,C,18.4,0.697,0.0,0.725,12.2,26.6,19.7,2.4,0.9,3.0,14.1,14.2,5.8,3.5,0.5,1.7,2.2,2.2,0.117
3,29,72,20.8,8.9,2.7,1.4,1.8,0.6,0.51,0.174,0.753,4.7,0.152,SG,18.3,0.562,0.047,0.37,5.5,9.9,7.7,10.9,4.5,2.4,13.1,19.9,2.0,2.7,0.7,2.9,3.6,2.1,0.088
4,24,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,PG,17.1,0.495,0.064,0.197,4.5,9.7,7.2,47.1,3.2,0.3,24.3,18.3,1.8,4.8,0.3,1.7,2.0,2.5,0.075
5,26,65,35.3,12.8,11.1,2.0,0.7,2.6,0.495,0.0,0.442,5.4,0.112,C,16.7,0.496,0.005,0.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,0.3,5.1,-2.6,5.0,2.4,2.6,0.053
6,38,80,30.1,13.2,4.2,2.5,0.8,0.4,0.484,0.395,0.829,4.4,0.087,SF,14.7,0.563,0.138,0.312,3.7,12.5,8.1,13.0,1.4,1.1,12.5,20.1,3.1,1.3,0.3,0.2,0.5,1.5,0.05
7,27,67,36.9,14.1,5.8,6.3,1.5,0.6,0.445,0.337,0.693,6.7,0.13,SF,17.2,0.53,0.238,0.395,2.8,15.2,9.0,26.4,2.1,1.2,13.4,19.2,3.3,3.5,1.5,1.8,3.2,3.2,0.048
8,26,79,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244,SF,27.3,0.594,0.188,0.446,3.3,18.7,11.4,34.9,2.1,1.3,13.8,31.5,10.3,5.3,6.5,2.1,8.6,8.2,0.042
9,25,82,39.1,17.4,5.8,2.8,1.0,0.6,0.46,0.345,0.753,9.9,0.149,SF,15.5,0.549,0.288,0.291,4.4,12.8,8.7,11.9,1.3,1.1,10.7,20.9,4.7,5.2,1.2,1.0,2.2,3.4,0.04
10,32,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,SG,23.9,0.548,0.217,0.356,3.5,13.3,8.5,26.7,1.9,0.3,11.4,35.1,6.8,3.5,4.7,-0.9,3.8,4.1,0.03
11,27,74,28.1,7.9,8.1,2.7,1.1,0.7,0.527,0.0,0.662,6.3,0.146,C,16.2,0.554,0.004,0.307,11.9,20.7,16.3,14.3,1.9,1.6,14.1,13.0,3.9,2.4,1.0,2.8,3.8,3.0,0.022
12,25,80,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,PG,23.7,0.578,0.197,0.414,1.6,12.3,6.9,45.8,3.5,0.1,13.9,21.1,9.5,4.4,5.4,1.0,6.4,6.1,0.022
